Time,PID,Tickets,Pass,Stride,Runtime
171,1,8,30000,1250,2
171,2,8,26250,1250,1
171,6,1,51250,10000,25
171,5,8,47500,1250,7
171,7,2,51250,5000,11
171,8,4,48750,2500,20
171,9,8,47500,1250,38
171,10,16,47500,625,75
171,11,32,47738,312,150
171,12,32,47738,312,150
171,13,32,47738,312,150
171,14,32,47738,312,150
171,15,32,47738,312,150
2154,1,8,30000,1250,2
2154,2,8,26250,1250,1
2154,6,1,161250,10000,36
2154,5,8,151250,1250,9
2154,7,2,151250,5000,31
2154,8,4,151250,2500,61
2154,9,8,151250,1250,121
2154,10,16,151250,625,241
2154,11,32,151322,312,482
2154,12,32,151322,312,482
2154,13,32,151322,312,482
2154,14,32,151322,312,482
2154,15,32,151322,312,482
4287,1,8,30000,1250,2
4287,2,8,26250,1250,1
4287,6,1,271250,10000,47
4287,5,8,262500,1250,11
4287,7,2,266250,5000,54
4287,8,4,263750,2500,106
4287,9,8,262500,1250,210
4287,10,16,262500,625,419
4287,11,32,262706,312,839
4287,12,32,262706,312,839
4287,13,32,262706,312,839
4287,14,32,262706,312,839
4287,15,32,262706,312,839
6269,1,8,30000,1250,2
6269,2,8,26250,1250,1
6269,6,1,371250,10000,57
6269,5,8,366250,1250,13
6269,7,2,366250,5000,74
6269,8,4,366250,2500,147
6269,9,8,366250,1250,293
6269,10,16,366250,625,585
6269,11,32,366290,312,1171
6269,12,32,366290,312,1171
6269,13,32,366290,312,1171
6269,14,32,366290,312,1171
6269,15,32,366290,312,1171
8377,1,8,30000,1250,2
8377,2,8,26250,1250,1
8377,6,1,481250,10000,68
8377,5,8,476250,1250,15
8377,7,2,476250,5000,96
8377,8,4,476250,2500,191
8377,9,8,476250,1250,381
8377,10,16,476250,625,761
8377,11,32,476426,312,1524
8377,12,32,476426,312,1524
8377,13,32,476426,312,1524
8377,14,32,476426,312,1524
8377,15,32,476426,312,1524
10480,1,8,30000,1250,2
10480,2,8,26250,1250,1
10480,6,1,591250,10000,79
10480,5,8,586250,1250,17
10480,7,2,586250,5000,118
10480,8,4,586250,2500,235
10480,9,8,586250,1250,469
10480,10,16,586250,625,937
10480,11,32,586250,312,1876
10480,12,32,586250,312,1876
10480,13,32,586250,312,1876
10480,14,32,586250,312,1876
10480,15,32,586250,312,1876
12469,1,8,30000,1250,2
12469,2,8,26250,1250,1
12469,6,1,691250,10000,89
12469,5,8,690000,1250,19
12469,7,2,691250,5000,139
12469,8,4,691250,2500,277
12469,9,8,690000,1250,552
12469,10,16,690000,625,1103
12469,11,32,690146,312,2209
12469,12,32,690146,312,2209
12469,13,32,690146,312,2209
12469,14,32,690146,312,2209
12469,15,32,690146,312,2209
14577,1,8,30000,1250,2
14577,2,8,26250,1250,1
14577,6,1,801250,10000,100
14577,5,8,800000,1250,21
14577,7,2,801250,5000,161
14577,8,4,801250,2500,321
14577,9,8,800000,1250,640
14577,10,16,800000,625,1279
14577,11,32,800282,312,2562
14577,12,32,800282,312,2562
14577,13,32,800282,312,2562
14577,14,32,800282,312,2562
14577,15,32,800282,312,2562
16680,1,8,30000,1250,2
16680,2,8,26250,1250,1
16680,6,1,911250,10000,111
16680,5,8,910000,1250,23
16680,7,2,911250,5000,183
16680,8,4,911250,2500,365
16680,9,8,910000,1250,728
16680,10,16,910000,625,1455
16680,11,32,910106,312,2914
16680,12,32,910106,312,2914
16680,13,32,910106,312,2914
16680,14,32,910106,312,2914
16680,15,32,910106,312,2914
18669,1,8,30000,1250,2
18669,2,8,26250,1250,1
18669,6,1,1021250,10000,122
18669,5,8,1013750,1250,25
18669,7,2,1016250,5000,204
18669,8,4,1013750,2500,406
18669,9,8,1013750,1250,811
18669,10,16,1013750,625,1621
18669,11,32,1014002,312,3247
18669,12,32,1014002,312,3247
18669,13,32,1014002,312,3247
18669,14,32,1014002,312,3247
18669,15,32,1014002,312,3247
20772,1,8,30000,1250,2
20772,2,8,26250,1250,1
20772,6,1,1131250,10000,133
20772,5,8,1123750,1250,27
20772,7,2,1126250,5000,226
20772,8,4,1123750,2500,450
20772,9,8,1123750,1250,899
20772,10,16,1123750,625,1797
20772,11,32,1123826,312,3599
20772,12,32,1123826,312,3599
20772,13,32,1123826,312,3599
20772,14,32,1123826,312,3599
20772,15,32,1123826,312,3599
22880,1,8,30000,1250,2
22880,2,8,26250,1250,1
22880,6,1,1241250,10000,144
22880,5,8,1233750,1250,29
22880,7,2,1236250,5000,248
22880,8,4,1233750,2500,494
22880,9,8,1233750,1250,987
22880,10,16,1233750,625,1973
22880,11,32,1233962,312,3952
22880,12,32,1233962,312,3952
22880,13,32,1233962,312,3952
22880,14,32,1233962,312,3952
22880,15,32,1233962,312,3952
24864,1,8,30000,1250,2
24864,2,8,26250,1250,1
24864,6,1,1341250,10000,154
24864,5,8,1337500,1250,31
24864,7,2,1341250,5000,269
24864,8,4,1338750,2500,536
24864,9,8,1337500,1250,1070
24864,10,16,1337500,625,2139
24864,11,32,1337546,312,4284
24864,12,32,1337546,312,4284
24864,13,32,1337546,312,4284
24864,14,32,1337546,312,4284
24864,15,32,1337546,312,4284
26972,1,8,30000,1250,2
26972,2,8,26250,1250,1
26972,6,1,1451250,10000,165
26972,5,8,1447500,1250,33
26972,7,2,1451250,5000,291
26972,8,4,1448750,2500,580
26972,9,8,1447500,1250,1158
26972,10,16,1447500,625,2315
26972,11,32,1447682,312,4637
26972,12,32,1447682,312,4637
26972,13,32,1447682,312,4637
26972,14,32,1447682,312,4637
26972,15,32,1447682,312,4637
29027,1,8,30000,1250,2
29027,2,8,26250,1250,1
29027,6,1,1561250,10000,176
29027,5,8,1555000,1250,35
29027,7,2,1556250,5000,312
29027,8,4,1556250,2500,623
29027,9,8,1555000,1250,1244
29027,10,16,1555000,625,2487
29027,11,32,1555010,312,4981
29027,12,32,1555010,312,4981
29027,13,32,1555010,312,4981
29027,14,32,1555010,312,4981
29027,15,32,1555010,312,4981
31135,1,8,30000,1250,2
31135,2,8,26250,1250,1
31135,6,1,1671250,10000,187
31135,5,8,1665000,1250,37
31135,7,2,1666250,5000,334
31135,8,4,1666250,2500,667
31135,9,8,1665000,1250,1332
31135,10,16,1665000,625,2663
31135,11,32,1665146,312,5334
31135,12,32,1665146,312,5334
31135,13,32,1665146,312,5334
31135,14,32,1665146,312,5334
31135,15,32,1665146,312,5334
33123,1,8,30000,1250,2
33123,2,8,26250,1250,1
33123,6,1,1771250,10000,197
33123,5,8,1768750,1250,39
33123,7,2,1771250,5000,355
33123,8,4,1768750,2500,708
33123,9,8,1768750,1250,1415
33123,10,16,1768750,625,2829
33123,11,32,1769042,312,5667
33123,12,32,1769042,312,5667
33123,13,32,1769042,312,5667
33123,14,32,1769042,312,5667
33123,15,32,1769042,312,5667
35226,1,8,30000,1250,2
35226,2,8,26250,1250,1
35226,6,1,1881250,10000,208
35226,5,8,1878750,1250,41
35226,7,2,1881250,5000,377
35226,8,4,1878750,2500,752
35226,9,8,1878750,1250,1503
35226,10,16,1878750,625,3005
35226,11,32,1878866,312,6019
35226,12,32,1878866,312,6019
35226,13,32,1878866,312,6019
35226,14,32,1878866,312,6019
35226,15,32,1878866,312,6019
37430,1,8,30000,1250,2
37430,2,8,26250,1250,1
37430,6,1,2001250,10000,220
37430,5,8,1993750,1250,43
37430,7,2,1996250,5000,400
37430,8,4,1993750,2500,798
37430,9,8,1993750,1250,1595
37430,10,16,1993750,625,3189
37430,11,32,1993994,312,6388
37430,12,32,1993994,312,6388
37430,13,32,1993994,312,6388
37430,14,32,1993994,312,6388
37430,15,32,1993994,312,6388
39414,1,8,30000,1250,2
39414,2,8,26250,1250,1
39414,6,1,2101250,10000,230
39414,5,8,2097500,1250,45
39414,7,2,2101250,5000,421
39414,8,4,2098750,2500,840
39414,9,8,2097500,1250,1678
39414,10,16,2097500,625,3355
39414,11,32,2097578,312,6720
39414,12,32,2097578,312,6720
39414,13,32,2097578,312,6720
39414,14,32,2097578,312,6720
39414,15,32,2097578,312,6720
58012,1,8,30000,1250,2
58012,2,8,26250,1250,1
58012,6,1,2221250,10000,242
58012,5,8,2212500,1250,49
58012,7,2,2216250,5000,444
58012,8,4,2213750,2500,886
58012,9,8,2212500,1250,1770
58012,10,16,2212500,625,3539
58012,11,32,2212706,312,7089
58012,12,32,2212706,312,7089
58012,13,32,2212706,312,7089
58012,14,32,2212706,312,7089
58012,15,32,2212706,312,7089
58012,16,32,2212706,312,7089
58012,17,32,2212706,312,7089
58012,18,8,2212500,1250,1770
58012,19,2,2216250,5000,444
58012,20,8,0,1250,0
58012,21,8,0,1250,0
65970,1,8,30000,1250,2
65970,2,8,35000,1250,2
65970,6,1,2371250,10000,257
65970,5,8,2368750,1250,51
65970,7,2,2371250,5000,475
65970,8,4,2368750,2500,948
65970,9,8,2368750,1250,1895
65970,10,16,2368750,625,3789
65970,11,32,2369018,312,7590
65970,12,32,2369018,312,7590
65970,13,32,2369018,312,7590
65970,14,32,2369018,312,7590
65970,15,32,2369018,312,7590
65970,16,32,2369018,312,7590
65970,17,32,2369018,312,7590
65970,18,8,2368750,1250,1895
65970,19,2,2371250,5000,475
65970,20,8,2368750,1250,1895
65970,21,8,2368750,1250,1895
70363,1,8,30000,1250,2
70363,2,8,35000,1250,2
70363,6,1,2531250,10000,273
70363,5,8,2525000,1250,53
70363,7,2,2526250,5000,506
70363,8,4,2526250,2500,1011
70363,9,8,2525000,1250,2020
70363,10,16,2525000,625,4039
70363,11,32,2525018,312,8090
70363,12,32,2525018,312,8090
70363,13,32,2525018,312,8090
70363,14,32,2525018,312,8090
70363,15,32,2525018,312,8090
70363,16,32,2525018,312,8090
70363,17,32,2525018,312,8090
70363,18,8,2525000,1250,2020
70363,19,2,2526250,5000,506
70363,20,8,2525000,1250,2020
70363,21,8,2525000,1250,2020
74762,1,8,30000,1250,2
74762,2,8,35000,1250,2
74762,6,1,2691250,10000,289
74762,5,8,2681250,1250,55
74762,7,2,2681250,5000,537
74762,8,4,2681250,2500,1073
74762,9,8,2681250,1250,2145
74762,10,16,2681250,625,4289
74762,11,32,2681330,312,8591
74762,12,32,2681330,312,8591
74762,13,32,2681330,312,8591
74762,14,32,2681330,312,8591
74762,15,32,2681330,312,8591
74762,16,32,2681330,312,8591
74762,17,32,2681330,312,8591
74762,18,8,2681250,1250,2145
74762,19,2,2681250,5000,537
74762,20,8,2681250,1250,2145
74762,21,8,2681250,1250,2145
79163,1,8,30000,1250,2
79163,2,8,35000,1250,2
79163,6,1,2841250,10000,304
79163,5,8,2837500,1250,57
79163,7,2,2841250,5000,569
79163,8,4,2838750,2500,1136
79163,9,8,2837500,1250,2270
79163,10,16,2837500,625,4539
79163,11,32,2837642,312,9092
79163,12,32,2837642,312,9092
79163,13,32,2837642,312,9092
79163,14,32,2837642,312,9092
79163,15,32,2837642,312,9092
79163,16,32,2837642,312,9092
79163,17,32,2837642,312,9092
79163,18,8,2837500,1250,2270
79163,19,2,2841250,5000,569
79163,20,8,2837500,1250,2270
79163,21,8,2837500,1250,2270
83562,1,8,30000,1250,2
83562,2,8,35000,1250,2
83562,6,1,3001250,10000,320
83562,5,8,2993750,1250,59
83562,7,2,2996250,5000,600
83562,8,4,2993750,2500,1198
83562,9,8,2993750,1250,2395
83562,10,16,2993750,625,4789
83562,11,32,2993954,312,9593
83562,12,32,2993954,312,9593
83562,13,32,2993954,312,9593
83562,14,32,2993954,312,9593
83562,15,32,2993954,312,9593
83562,16,32,2993954,312,9593
83562,17,32,2993954,312,9593
83562,18,8,2993750,1250,2395
83562,19,2,2996250,5000,600
83562,20,8,2993750,1250,2395
83562,21,8,2993750,1250,2395
87961,1,8,30000,1250,2
87961,2,8,35000,1250,2
87961,6,1,3151250,10000,335
87961,5,8,3150000,1250,61
87961,7,2,3151250,5000,631
87961,8,4,3151250,2500,1261
87961,9,8,3150000,1250,2520
87961,10,16,3150000,625,5039
87961,11,32,3150266,312,10094
87961,12,32,3150266,312,10094
87961,13,32,3150266,312,10094
87961,14,32,3150266,312,10094
87961,15,32,3150266,312,10094
87961,16,32,3150266,312,10094
87961,17,32,3150266,312,10094
87961,18,8,3150000,1250,2520
87961,19,2,3151250,5000,631
87961,20,8,3150000,1250,2520
87961,21,8,3150000,1250,2520
92353,1,8,30000,1250,2
92353,2,8,35000,1250,2
92353,6,1,3311250,10000,351
92353,5,8,3306250,1250,63
92353,7,2,3306250,5000,662
92353,8,4,3306250,2500,1323
92353,9,8,3306250,1250,2645
92353,10,16,3306250,625,5289
92353,11,32,3306266,312,10594
92353,12,32,3306266,312,10594
92353,13,32,3306266,312,10594
92353,14,32,3306266,312,10594
92353,15,32,3306266,312,10594
92353,16,32,3306266,312,10594
92353,17,32,3306266,312,10594
92353,18,8,3306250,1250,2645
92353,19,2,3306250,5000,662
92353,20,8,3306250,1250,2645
92353,21,8,3306250,1250,2645
96755,1,8,30000,1250,2
96755,2,8,35000,1250,2
96755,6,1,3471250,10000,367
96755,5,8,3462500,1250,65
96755,7,2,3466250,5000,694
96755,8,4,3463750,2500,1386
96755,9,8,3462500,1250,2770
96755,10,16,3462500,625,5539
96755,11,32,3462578,312,11095
96755,12,32,3462578,312,11095
96755,13,32,3462578,312,11095
96755,14,32,3462578,312,11095
96755,15,32,3462578,312,11095
96755,16,32,3462578,312,11095
96755,17,32,3462578,312,11095
96755,18,8,3462500,1250,2770
96755,19,2,3466250,5000,694
96755,20,8,3462500,1250,2770
96755,21,8,3462500,1250,2770
101153,1,8,30000,1250,2
101153,2,8,35000,1250,2
101153,6,1,3621250,10000,382
101153,5,8,3618750,1250,67
101153,7,2,3621250,5000,725
101153,8,4,3618750,2500,1448
101153,9,8,3618750,1250,2895
101153,10,16,3618750,625,5789
101153,11,32,3618890,312,11596
101153,12,32,3618890,312,11596
101153,13,32,3618890,312,11596
101153,14,32,3618890,312,11596
101153,15,32,3618890,312,11596
101153,16,32,3618890,312,11596
101153,17,32,3618890,312,11596
101153,18,8,3618750,1250,2895
101153,19,2,3621250,5000,725
101153,20,8,3618750,1250,2895
101153,21,8,3618750,1250,2895
105553,1,8,30000,1250,2
105553,2,8,35000,1250,2
105553,6,1,3781250,10000,398
105553,5,8,3775000,1250,69
105553,7,2,3776250,5000,756
105553,8,4,3776250,2500,1511
105553,9,8,3775000,1250,3020
105553,10,16,3775000,625,6039
105553,11,32,3775202,312,12097
105553,12,32,3775202,312,12097
105553,13,32,3775202,312,12097
105553,14,32,3775202,312,12097
105553,15,32,3775202,312,12097
105553,16,32,3775202,312,12097
105553,17,32,3775202,312,12097
105553,18,8,3775000,1250,3020
105553,19,2,3776250,5000,756
105553,20,8,3775000,1250,3020
105553,21,8,3775000,1250,3020
110198,1,8,30000,1250,2
110198,2,8,35000,1250,2
110198,6,1,3941250,10000,414
110198,5,8,3940000,1250,71
110198,7,2,3941250,5000,789
110198,8,4,3941250,2500,1577
110198,9,8,3940000,1250,3152
110198,10,16,3940000,625,6303
110198,11,32,3940250,312,12626
110198,12,32,3940250,312,12626
110198,13,32,3940250,312,12626
110198,14,32,3940250,312,12626
110198,15,32,3940250,312,12626
110198,16,32,3940250,312,12626
110198,17,32,3940250,312,12626
110198,18,8,3940000,1250,3152
110198,19,2,3941250,5000,789
110198,20,8,3940000,1250,3152
110198,21,8,3940000,1250,3152
114590,1,8,30000,1250,2
114590,2,8,35000,1250,2
114590,6,1,4101250,10000,430
114590,5,8,4096250,1250,73
114590,7,2,4096250,5000,820
114590,8,4,4096250,2500,1639
114590,9,8,4096250,1250,3277
114590,10,16,4096250,625,6553
114590,11,32,4096250,312,13126
114590,12,32,4096250,312,13126
114590,13,32,4096250,312,13126
114590,14,32,4096250,312,13126
114590,15,32,4096250,312,13126
114590,16,32,4096250,312,13126
114590,17,32,4096250,312,13126
114590,18,8,4096250,1250,3277
114590,19,2,4096250,5000,820
114590,20,8,4096250,1250,3277
114590,21,8,4096250,1250,3277
118920,1,8,30000,1250,2
118920,2,8,35000,1250,2
118920,6,1,4251250,10000,445
118920,5,8,4250000,1250,75
118920,7,2,4251250,5000,851
118920,8,4,4251250,2500,1701
118920,9,8,4250000,1250,3400
118920,10,16,4250000,625,6799
118920,11,32,4250066,312,13619
118920,12,32,4250066,312,13619
118920,13,32,4250066,312,13619
118920,14,32,4250066,312,13619
118920,15,32,4250066,312,13619
118920,16,32,4250066,312,13619
118920,17,32,4250066,312,13619
118920,18,8,4250000,1250,3400
118920,19,2,4251250,5000,851
118920,20,8,4250000,1250,3400
118920,21,8,4250000,1250,3400
123319,1,8,30000,1250,2
123319,2,8,35000,1250,2
123319,6,1,4411250,10000,461
123319,5,8,4406250,1250,77
123319,7,2,4406250,5000,882
123319,8,4,4406250,2500,1763
123319,9,8,4406250,1250,3525
123319,10,16,4406250,625,7049
123319,11,32,4406378,312,14120
123319,12,32,4406378,312,14120
123319,13,32,4406378,312,14120
123319,14,32,4406378,312,14120
123319,15,32,4406378,312,14120
123319,16,32,4406378,312,14120
123319,17,32,4406378,312,14120
123319,18,8,4406250,1250,3525
123319,19,2,4406250,5000,882
123319,20,8,4406250,1250,3525
123319,21,8,4406250,1250,3525
127721,1,8,30000,1250,2
127721,2,8,35000,1250,2
127721,6,1,4571250,10000,477
127721,5,8,4562500,1250,79
127721,7,2,4566250,5000,914
127721,8,4,4563750,2500,1826
127721,9,8,4562500,1250,3650
127721,10,16,4562500,625,7299
127721,11,32,4562690,312,14621
127721,12,32,4562690,312,14621
127721,13,32,4562690,312,14621
127721,14,32,4562690,312,14621
127721,15,32,4562690,312,14621
127721,16,32,4562690,312,14621
127721,17,32,4562690,312,14621
127721,18,8,4562500,1250,3650
127721,19,2,4566250,5000,914
127721,20,8,4562500,1250,3650
127721,21,8,4562500,1250,3650
132119,1,8,30000,1250,2
132119,2,8,35000,1250,2
132119,6,1,4721250,10000,492
132119,5,8,4718750,1250,81
132119,7,2,4721250,5000,945
132119,8,4,4718750,2500,1888
132119,9,8,4718750,1250,3775
132119,10,16,4718750,625,7549
132119,11,32,4719002,312,15122
132119,12,32,4719002,312,15122
132119,13,32,4719002,312,15122
132119,14,32,4719002,312,15122
132119,15,32,4719002,312,15122
132119,16,32,4719002,312,15122
132119,17,32,4719002,312,15122
132119,18,8,4718750,1250,3775
132119,19,2,4721250,5000,945
132119,20,8,4718750,1250,3775
132119,21,8,4718750,1250,3775
136547,1,8,30000,1250,2
136547,2,8,35000,1250,2
136547,6,1,4881250,10000,508
136547,5,8,4876250,1250,84
136547,7,2,4876250,5000,976
136547,8,4,4876250,2500,1951
136547,9,8,4876250,1250,3901
136547,10,16,4876250,625,7801
136547,11,32,4876250,312,15626
136547,12,32,4876250,312,15626
136547,13,32,4876250,312,15626
136547,14,32,4876250,312,15626
136547,15,32,4876250,312,15626
136547,16,32,4876250,312,15626
136547,17,32,4876250,312,15626
136547,18,8,4876250,1250,3901
136547,19,2,4876250,5000,976
136547,20,8,4876250,1250,3901
136547,21,8,4876250,1250,3901
140984,1,8,30000,1250,2
140984,2,8,35000,1250,2
140984,6,1,5041250,10000,524
140984,5,8,5033750,1250,87
140984,7,2,5036250,5000,1008
140984,8,4,5033750,2500,2014
140984,9,8,5033750,1250,4027
140984,10,16,5033750,625,8053
140984,11,32,5033810,312,16131
140984,12,32,5033810,312,16131
140984,13,32,5033810,312,16131
140984,14,32,5033810,312,16131
140984,15,32,5033810,312,16131
140984,16,32,5033810,312,16131
140984,17,32,5033810,312,16131
140984,18,8,5033750,1250,4027
140984,19,2,5036250,5000,1008
140984,20,8,5033750,1250,4027
140984,21,8,5033750,1250,4027
145383,1,8,30000,1250,2
145383,2,8,35000,1250,2
145383,6,1,5191250,10000,539
145383,5,8,5190000,1250,89
145383,7,2,5191250,5000,1039
145383,8,4,5191250,2500,2077
145383,9,8,5190000,1250,4152
145383,10,16,5190000,625,8303
145383,11,32,5190122,312,16632
145383,12,32,5190122,312,16632
145383,13,32,5190122,312,16632
145383,14,32,5190122,312,16632
145383,15,32,5190122,312,16632
145383,16,32,5190122,312,16632
145383,17,32,5190122,312,16632
145383,18,8,5190000,1250,4152
145383,19,2,5191250,5000,1039
145383,20,8,5190000,1250,4152
145383,21,8,5190000,1250,4152

